"Time","Value","Units","Var","EPU","SOE 2018"
1995,121.980840963513,"m","atlantic cod spring mean dteoc","All","N"
1996,132.20724008403,"m","atlantic cod spring mean dteoc","All","N"
1997,126.852730977747,"m","atlantic cod spring mean dteoc","All","N"
1998,109.451087259908,"m","atlantic cod spring mean dteoc","All","N"
1999,137.109710492406,"m","atlantic cod spring mean dteoc","All","N"
2000,123.105265601791,"m","atlantic cod spring mean dteoc","All","N"
2001,121.587488745413,"m","atlantic cod spring mean dteoc","All","N"
2002,113.657139237526,"m","atlantic cod spring mean dteoc","All","N"
2003,133.935664142453,"m","atlantic cod spring mean dteoc","All","N"
2004,124.606248757457,"m","atlantic cod spring mean dteoc","All","N"
2005,126.310999606102,"m","atlantic cod spring mean dteoc","All","N"
2006,122.826490838674,"m","atlantic cod spring mean dteoc","All","N"
2007,144.371931667428,"m","atlantic cod spring mean dteoc","All","N"
2008,131.768922574094,"m","atlantic cod spring mean dteoc","All","N"
2009,121.240164694371,"m","atlantic cod spring mean dteoc","All","N"
2010,124.99769230554,"m","atlantic cod spring mean dteoc","All","N"
2011,118.231488828091,"m","atlantic cod spring mean dteoc","All","N"
2012,115.919560146774,"m","atlantic cod spring mean dteoc","All","N"
2013,126.496808691135,"m","atlantic cod spring mean dteoc","All","N"
2014,116.947471436435,"m","atlantic cod spring mean dteoc","All","N"
2015,117.463618956369,"m","atlantic cod spring mean dteoc","All","N"
2016,108.503640837352,"m","atlantic cod spring mean dteoc","All","N"
1968,81.3720451625885,"m","black sea bass spring mean dteoc","All","N"
1969,83.7200993755057,"m","black sea bass spring mean dteoc","All","N"
1970,87.0941129062407,"m","black sea bass spring mean dteoc","All","N"
1971,93.029927295425,"m","black sea bass spring mean dteoc","All","N"
1972,80.2655975116503,"m","black sea bass spring mean dteoc","All","N"
1973,44.6101318282181,"m","black sea bass spring mean dteoc","All","N"
1974,57.9174024214359,"m","black sea bass spring mean dteoc","All","N"
1975,96.5857532501401,"m","black sea bass spring mean dteoc","All","N"
1976,76.1393834212355,"m","black sea bass spring mean dteoc","All","N"
1977,78.2326034180425,"m","black sea bass spring mean dteoc","All","N"
1978,88.9045076037075,"m","black sea bass spring mean dteoc","All","N"
1979,90.8494349611219,"m","black sea bass spring mean dteoc","All","N"
1980,88.3941954591455,"m","black sea bass spring mean dteoc","All","N"
1981,92.3612017959159,"m","black sea bass spring mean dteoc","All","N"
1982,91.5717851307218,"m","black sea bass spring mean dteoc","All","N"
1983,107.71529220308,"m","black sea bass spring mean dteoc","All","N"
1984,79.8464891400771,"m","black sea bass spring mean dteoc","All","N"
1985,100.130444535157,"m","black sea bass spring mean dteoc","All","N"
1986,93.3972847695992,"m","black sea bass spring mean dteoc","All","N"
1987,103.246745155378,"m","black sea bass spring mean dteoc","All","N"
1988,92.7014064586171,"m","black sea bass spring mean dteoc","All","N"
1989,71.008831879917,"m","black sea bass spring mean dteoc","All","N"
1990,85.3609936180535,"m","black sea bass spring mean dteoc","All","N"
1991,87.6577912716465,"m","black sea bass spring mean dteoc","All","N"
1992,85.924233777383,"m","black sea bass spring mean dteoc","All","N"
1993,105.024221702362,"m","black sea bass spring mean dteoc","All","N"
1994,101.646017802274,"m","black sea bass spring mean dteoc","All","N"
1995,91.8119692045475,"m","black sea bass spring mean dteoc","All","N"
1996,86.802623748989,"m","black sea bass spring mean dteoc","All","N"
1997,96.2675677437701,"m","black sea bass spring mean dteoc","All","N"
1998,97.2536218508114,"m","black sea bass spring mean dteoc","All","N"
1999,86.3934492580664,"m","black sea bass spring mean dteoc","All","N"
2000,73.1370562681905,"m","black sea bass spring mean dteoc","All","N"
2001,102.71467745454,"m","black sea bass spring mean dteoc","All","N"
2002,74.5296371293783,"m","black sea bass spring mean dteoc","All","N"
2003,96.1389222854885,"m","black sea bass spring mean dteoc","All","N"
2004,103.757572075662,"m","black sea bass spring mean dteoc","All","N"
2005,105.535104622811,"m","black sea bass spring mean dteoc","All","N"
2006,90.4839079365953,"m","black sea bass spring mean dteoc","All","N"
2007,94.7852493224616,"m","black sea bass spring mean dteoc","All","N"
2008,80.0973292420303,"m","black sea bass spring mean dteoc","All","N"
2009,94.3875873021405,"m","black sea bass spring mean dteoc","All","N"
2010,111.139045691078,"m","black sea bass spring mean dteoc","All","N"
2011,112.218307996363,"m","black sea bass spring mean dteoc","All","N"
2012,70.0536425796415,"m","black sea bass spring mean dteoc","All","N"
2013,95.6440278070947,"m","black sea bass spring mean dteoc","All","N"
2014,79.6680753109612,"m","black sea bass spring mean dteoc","All","N"
2015,90.130478336668,"m","black sea bass spring mean dteoc","All","N"
2016,63.3205107419226,"m","black sea bass spring mean dteoc","All","N"
1968,132.016180877469,"m","haddock spring mean dteoc","All","N"
1969,119.546233076121,"m","haddock spring mean dteoc","All","N"
1970,138.575447001316,"m","haddock spring mean dteoc","All","N"
1971,147.962473093146,"m","haddock spring mean dteoc","All","N"
1972,149.971620330013,"m","haddock spring mean dteoc","All","N"
1973,135.976054131437,"m","haddock spring mean dteoc","All","N"
1974,133.036405857912,"m","haddock spring mean dteoc","All","N"
1975,118.464904658053,"m","haddock spring mean dteoc","All","N"
1976,119.876680362216,"m","haddock spring mean dteoc","All","N"
1977,112.360852368514,"m","haddock spring mean dteoc","All","N"
1978,136.24514959283,"m","haddock spring mean dteoc","All","N"
1979,142.050456669403,"m","haddock spring mean dteoc","All","N"
1980,142.256622844952,"m","haddock spring mean dteoc","All","N"
1981,134.998098061947,"m","haddock spring mean dteoc","All","N"
1982,142.295526082021,"m","haddock spring mean dteoc","All","N"
1983,127.807377865107,"m","haddock spring mean dteoc","All","N"
1984,143.372992495917,"m","haddock spring mean dteoc","All","N"
1985,136.310603101881,"m","haddock spring mean dteoc","All","N"
1986,136.835819252342,"m","haddock spring mean dteoc","All","N"
1987,140.765321782143,"m","haddock spring mean dteoc","All","N"
1988,128.970080553557,"m","haddock spring mean dteoc","All","N"
1989,166.169295696584,"m","haddock spring mean dteoc","All","N"
1990,167.284060678246,"m","haddock spring mean dteoc","All","N"
1991,158.974056064844,"m","haddock spring mean dteoc","All","N"
1992,161.69841020555,"m","haddock spring mean dteoc","All","N"
1993,154.698673801392,"m","haddock spring mean dteoc","All","N"
1994,135.106729049494,"m","haddock spring mean dteoc","All","N"
1995,119.36663432128,"m","haddock spring mean dteoc","All","N"
1996,153.360895839691,"m","haddock spring mean dteoc","All","N"
1997,132.268773065638,"m","haddock spring mean dteoc","All","N"
1998,151.252936713277,"m","haddock spring mean dteoc","All","N"
1999,131.054344072792,"m","haddock spring mean dteoc","All","N"
2000,129.400712250631,"m","haddock spring mean dteoc","All","N"
2001,142.207338835563,"m","haddock spring mean dteoc","All","N"
2002,120.771916631086,"m","haddock spring mean dteoc","All","N"
2003,141.845050470949,"m","haddock spring mean dteoc","All","N"
2004,147.172744915329,"m","haddock spring mean dteoc","All","N"
2005,157.655531875941,"m","haddock spring mean dteoc","All","N"
2006,145.745613160415,"m","haddock spring mean dteoc","All","N"
2007,157.410474187778,"m","haddock spring mean dteoc","All","N"
2008,156.035305917956,"m","haddock spring mean dteoc","All","N"
2009,143.289239693203,"m","haddock spring mean dteoc","All","N"
2010,144.322750292315,"m","haddock spring mean dteoc","All","N"
2011,140.292947787777,"m","haddock spring mean dteoc","All","N"
2012,127.037350178595,"m","haddock spring mean dteoc","All","N"
2013,133.300622048718,"m","haddock spring mean dteoc","All","N"
2014,122.714107902395,"m","haddock spring mean dteoc","All","N"
2015,136.93279530602,"m","haddock spring mean dteoc","All","N"
2016,127.430988974557,"m","haddock spring mean dteoc","All","N"
1968,88.4119895235965,"m","sea scallop spring mean dteoc","All","N"
1969,130.959570333751,"m","sea scallop spring mean dteoc","All","N"
1970,100.909454334694,"m","sea scallop spring mean dteoc","All","N"
1971,104.918172267764,"m","sea scallop spring mean dteoc","All","N"
1972,119.02606038632,"m","sea scallop spring mean dteoc","All","N"
1973,129.430247813761,"m","sea scallop spring mean dteoc","All","N"
1974,118.073278769466,"m","sea scallop spring mean dteoc","All","N"
1975,113.042566630256,"m","sea scallop spring mean dteoc","All","N"
1976,104.490660319576,"m","sea scallop spring mean dteoc","All","N"
1977,111.184235051912,"m","sea scallop spring mean dteoc","All","N"
1978,103.257104589351,"m","sea scallop spring mean dteoc","All","N"
1979,115.023770621881,"m","sea scallop spring mean dteoc","All","N"
1980,109.952540816165,"m","sea scallop spring mean dteoc","All","N"
1981,117.542675875314,"m","sea scallop spring mean dteoc","All","N"
1982,108.262530272546,"m","sea scallop spring mean dteoc","All","N"
1983,104.138519068231,"m","sea scallop spring mean dteoc","All","N"
1984,102.848333076259,"m","sea scallop spring mean dteoc","All","N"
1985,123.218854763853,"m","sea scallop spring mean dteoc","All","N"
1986,110.723338464785,"m","sea scallop spring mean dteoc","All","N"
1987,128.652723271064,"m","sea scallop spring mean dteoc","All","N"
1988,97.966489000474,"m","sea scallop spring mean dteoc","All","N"
1989,108.290750708374,"m","sea scallop spring mean dteoc","All","N"
1990,93.6717557871853,"m","sea scallop spring mean dteoc","All","N"
1991,108.705023766412,"m","sea scallop spring mean dteoc","All","N"
1992,95.9369486860232,"m","sea scallop spring mean dteoc","All","N"
1993,91.3686701589774,"m","sea scallop spring mean dteoc","All","N"
1994,83.7205029538769,"m","sea scallop spring mean dteoc","All","N"
1995,95.1249278476531,"m","sea scallop spring mean dteoc","All","N"
1996,111.047038620384,"m","sea scallop spring mean dteoc","All","N"
1997,99.0486195687642,"m","sea scallop spring mean dteoc","All","N"
1998,93.192847923933,"m","sea scallop spring mean dteoc","All","N"
1999,99.5805678934523,"m","sea scallop spring mean dteoc","All","N"
2000,110.789828476374,"m","sea scallop spring mean dteoc","All","N"
2001,113.369819200728,"m","sea scallop spring mean dteoc","All","N"
2002,96.5584863345881,"m","sea scallop spring mean dteoc","All","N"
2003,113.850092605814,"m","sea scallop spring mean dteoc","All","N"
2004,100.476398012795,"m","sea scallop spring mean dteoc","All","N"
2005,110.157778066342,"m","sea scallop spring mean dteoc","All","N"
2006,108.143460906257,"m","sea scallop spring mean dteoc","All","N"
2007,126.333271432275,"m","sea scallop spring mean dteoc","All","N"
2008,109.518095873812,"m","sea scallop spring mean dteoc","All","N"
2009,107.958355992699,"m","sea scallop spring mean dteoc","All","N"
2010,111.218758677797,"m","sea scallop spring mean dteoc","All","N"
2011,113.332402958731,"m","sea scallop spring mean dteoc","All","N"
2012,96.4849124170869,"m","sea scallop spring mean dteoc","All","N"
2013,113.168891525056,"m","sea scallop spring mean dteoc","All","N"
2014,108.526719100232,"m","sea scallop spring mean dteoc","All","N"
2015,115.41475660824,"m","sea scallop spring mean dteoc","All","N"
2016,107.161766004843,"m","sea scallop spring mean dteoc","All","N"
1968,103.072709274283,"m","summer flounder spring mean dteoc","All","N"
1969,85.5887076474053,"m","summer flounder spring mean dteoc","All","N"
1970,67.599715511874,"m","summer flounder spring mean dteoc","All","N"
1971,94.9093443982829,"m","summer flounder spring mean dteoc","All","N"
1972,82.5719812579348,"m","summer flounder spring mean dteoc","All","N"
1973,53.6258922871102,"m","summer flounder spring mean dteoc","All","N"
1974,74.9088218071265,"m","summer flounder spring mean dteoc","All","N"
1975,117.391016224368,"m","summer flounder spring mean dteoc","All","N"
1976,83.7234891900138,"m","summer flounder spring mean dteoc","All","N"
1977,89.7993927462463,"m","summer flounder spring mean dteoc","All","N"
1978,102.544651959975,"m","summer flounder spring mean dteoc","All","N"
1979,68.2621073798546,"m","summer flounder spring mean dteoc","All","N"
1980,94.2457488736029,"m","summer flounder spring mean dteoc","All","N"
1981,89.2992657393709,"m","summer flounder spring mean dteoc","All","N"
1982,87.6386909902177,"m","summer flounder spring mean dteoc","All","N"
1983,100.183812275424,"m","summer flounder spring mean dteoc","All","N"
1984,85.1206456084669,"m","summer flounder spring mean dteoc","All","N"
1985,88.2534252550413,"m","summer flounder spring mean dteoc","All","N"
1986,86.0958031101769,"m","summer flounder spring mean dteoc","All","N"
1987,90.8537820988693,"m","summer flounder spring mean dteoc","All","N"
1988,90.7163644723354,"m","summer flounder spring mean dteoc","All","N"
1989,102.164358952159,"m","summer flounder spring mean dteoc","All","N"
1990,73.252073028687,"m","summer flounder spring mean dteoc","All","N"
1991,76.3385889295539,"m","summer flounder spring mean dteoc","All","N"
1992,89.3955538815395,"m","summer flounder spring mean dteoc","All","N"
1993,88.6826115374072,"m","summer flounder spring mean dteoc","All","N"
1994,102.030389331295,"m","summer flounder spring mean dteoc","All","N"
1995,89.3238177246949,"m","summer flounder spring mean dteoc","All","N"
1996,84.584229298321,"m","summer flounder spring mean dteoc","All","N"
1997,89.7331018060577,"m","summer flounder spring mean dteoc","All","N"
1998,85.2492353023019,"m","summer flounder spring mean dteoc","All","N"
1999,80.2390833729507,"m","summer flounder spring mean dteoc","All","N"
2000,90.3407831525219,"m","summer flounder spring mean dteoc","All","N"
2001,99.1283916409148,"m","summer flounder spring mean dteoc","All","N"
2002,91.3606737463376,"m","summer flounder spring mean dteoc","All","N"
2003,101.151216206447,"m","summer flounder spring mean dteoc","All","N"
2004,93.597518860924,"m","summer flounder spring mean dteoc","All","N"
2005,100.014800371076,"m","summer flounder spring mean dteoc","All","N"
2006,87.6836332693369,"m","summer flounder spring mean dteoc","All","N"
2007,88.1121806419074,"m","summer flounder spring mean dteoc","All","N"
2008,79.1974314149566,"m","summer flounder spring mean dteoc","All","N"
2009,79.3283906092617,"m","summer flounder spring mean dteoc","All","N"
2010,97.0463455685005,"m","summer flounder spring mean dteoc","All","N"
2011,94.6794298478825,"m","summer flounder spring mean dteoc","All","N"
2012,75.6270521831926,"m","summer flounder spring mean dteoc","All","N"
2013,90.9692806617144,"m","summer flounder spring mean dteoc","All","N"
2014,91.3186198652111,"m","summer flounder spring mean dteoc","All","N"
2015,83.1153483790052,"m","summer flounder spring mean dteoc","All","N"
2016,76.870100323136,"m","summer flounder spring mean dteoc","All","N"
1963,110.569961361527,"m","atlantic cod fall mean dteoc","All","N"
1964,114.769710890105,"m","atlantic cod fall mean dteoc","All","N"
1965,111.508681223169,"m","atlantic cod fall mean dteoc","All","N"
1966,110.686390617901,"m","atlantic cod fall mean dteoc","All","N"
1967,117.009337998539,"m","atlantic cod fall mean dteoc","All","N"
1968,107.480804554943,"m","atlantic cod fall mean dteoc","All","N"
1969,97.5199103769121,"m","atlantic cod fall mean dteoc","All","N"
1970,106.978801975534,"m","atlantic cod fall mean dteoc","All","N"
1971,96.8225429468569,"m","atlantic cod fall mean dteoc","All","N"
1972,103.514226700403,"m","atlantic cod fall mean dteoc","All","N"
1973,112.473824753912,"m","atlantic cod fall mean dteoc","All","N"
1974,87.6337255075907,"m","atlantic cod fall mean dteoc","All","N"
1975,97.7848325250132,"m","atlantic cod fall mean dteoc","All","N"
1976,98.7994640264737,"m","atlantic cod fall mean dteoc","All","N"
1977,105.266005664794,"m","atlantic cod fall mean dteoc","All","N"
1978,98.8077296695191,"m","atlantic cod fall mean dteoc","All","N"
1979,107.154598948835,"m","atlantic cod fall mean dteoc","All","N"
1980,117.675067035025,"m","atlantic cod fall mean dteoc","All","N"
1981,120.096037144208,"m","atlantic cod fall mean dteoc","All","N"
1982,96.3724383004061,"m","atlantic cod fall mean dteoc","All","N"
1983,90.280772004785,"m","atlantic cod fall mean dteoc","All","N"
1984,101.772833456996,"m","atlantic cod fall mean dteoc","All","N"
1985,93.8472134683572,"m","atlantic cod fall mean dteoc","All","N"
1986,95.5024035093639,"m","atlantic cod fall mean dteoc","All","N"
1987,103.795127993214,"m","atlantic cod fall mean dteoc","All","N"
1988,89.0346823840889,"m","atlantic cod fall mean dteoc","All","N"
1989,105.609295376873,"m","atlantic cod fall mean dteoc","All","N"
1990,93.7667943287717,"m","atlantic cod fall mean dteoc","All","N"
1991,91.9548015728038,"m","atlantic cod fall mean dteoc","All","N"
1992,99.8678792920611,"m","atlantic cod fall mean dteoc","All","N"
1993,89.3249223432547,"m","atlantic cod fall mean dteoc","All","N"
1994,90.2133837484803,"m","atlantic cod fall mean dteoc","All","N"
1995,99.2434903206035,"m","atlantic cod fall mean dteoc","All","N"
1996,111.132101595152,"m","atlantic cod fall mean dteoc","All","N"
1997,105.451401047098,"m","atlantic cod fall mean dteoc","All","N"
1998,103.071533827572,"m","atlantic cod fall mean dteoc","All","N"
1999,93.6962818531853,"m","atlantic cod fall mean dteoc","All","N"
2000,110.083036854069,"m","atlantic cod fall mean dteoc","All","N"
2001,107.115556116692,"m","atlantic cod fall mean dteoc","All","N"
2002,108.526130518921,"m","atlantic cod fall mean dteoc","All","N"
2003,92.5095619988342,"m","atlantic cod fall mean dteoc","All","N"
2004,113.45591079609,"m","atlantic cod fall mean dteoc","All","N"
2005,93.6721426546484,"m","atlantic cod fall mean dteoc","All","N"
2006,93.6896286767208,"m","atlantic cod fall mean dteoc","All","N"
2007,101.28076055367,"m","atlantic cod fall mean dteoc","All","N"
2008,94.9813913851549,"m","atlantic cod fall mean dteoc","All","N"
2009,97.4231011082626,"m","atlantic cod fall mean dteoc","All","N"
2010,105.353089866923,"m","atlantic cod fall mean dteoc","All","N"
2011,103.434198464192,"m","atlantic cod fall mean dteoc","All","N"
2012,81.2090233199722,"m","atlantic cod fall mean dteoc","All","N"
2013,104.292559713876,"m","atlantic cod fall mean dteoc","All","N"
2014,109.296838499016,"m","atlantic cod fall mean dteoc","All","N"
2015,106.117303878818,"m","atlantic cod fall mean dteoc","All","N"
2016,97.435094892509,"m","atlantic cod fall mean dteoc","All","N"
1963,90.8517884115289,"m","black sea bass fall mean dteoc","All","N"
1964,31.2096611239464,"m","black sea bass fall mean dteoc","All","N"
1965,14.8812030775356,"m","black sea bass fall mean dteoc","All","N"
1967,41.3756691612952,"m","black sea bass fall mean dteoc","All","N"
1968,43.3630390047625,"m","black sea bass fall mean dteoc","All","N"
1969,48.6654843464082,"m","black sea bass fall mean dteoc","All","N"
1970,40.9946304641798,"m","black sea bass fall mean dteoc","All","N"
1971,50.0917549199324,"m","black sea bass fall mean dteoc","All","N"
1972,36.1238119737921,"m","black sea bass fall mean dteoc","All","N"
1973,25.0592160120981,"m","black sea bass fall mean dteoc","All","N"
1974,31.270315222583,"m","black sea bass fall mean dteoc","All","N"
1975,45.1666886425302,"m","black sea bass fall mean dteoc","All","N"
1976,44.6436773401111,"m","black sea bass fall mean dteoc","All","N"
1977,33.4553397654372,"m","black sea bass fall mean dteoc","All","N"
1978,37.8724491027273,"m","black sea bass fall mean dteoc","All","N"
1979,44.3361231500161,"m","black sea bass fall mean dteoc","All","N"
1980,29.1985692593602,"m","black sea bass fall mean dteoc","All","N"
1981,34.4158720614928,"m","black sea bass fall mean dteoc","All","N"
1982,32.052092570049,"m","black sea bass fall mean dteoc","All","N"
1983,32.2852131155959,"m","black sea bass fall mean dteoc","All","N"
1984,32.0553684584081,"m","black sea bass fall mean dteoc","All","N"
1985,23.6902144228764,"m","black sea bass fall mean dteoc","All","N"
1986,34.1349185876976,"m","black sea bass fall mean dteoc","All","N"
1987,30.3081063523928,"m","black sea bass fall mean dteoc","All","N"
1988,34.8032956236139,"m","black sea bass fall mean dteoc","All","N"
1989,28.4656837142213,"m","black sea bass fall mean dteoc","All","N"
1990,40.0462014837151,"m","black sea bass fall mean dteoc","All","N"
1991,26.0944710957089,"m","black sea bass fall mean dteoc","All","N"
1992,30.2991279144652,"m","black sea bass fall mean dteoc","All","N"
1993,24.6674583703199,"m","black sea bass fall mean dteoc","All","N"
1994,23.7190664610269,"m","black sea bass fall mean dteoc","All","N"
1995,32.4845553768358,"m","black sea bass fall mean dteoc","All","N"
1996,25.2505963435368,"m","black sea bass fall mean dteoc","All","N"
1997,29.7025007331806,"m","black sea bass fall mean dteoc","All","N"
1998,27.3287414385823,"m","black sea bass fall mean dteoc","All","N"
1999,45.3109456626895,"m","black sea bass fall mean dteoc","All","N"
2000,31.0447012817929,"m","black sea bass fall mean dteoc","All","N"
2001,22.6435905329495,"m","black sea bass fall mean dteoc","All","N"
2002,32.5172948594014,"m","black sea bass fall mean dteoc","All","N"
2003,39.9571009165931,"m","black sea bass fall mean dteoc","All","N"
2004,22.7821680968105,"m","black sea bass fall mean dteoc","All","N"
2005,25.8833415256622,"m","black sea bass fall mean dteoc","All","N"
2006,29.4642463917285,"m","black sea bass fall mean dteoc","All","N"
2007,27.6971304651235,"m","black sea bass fall mean dteoc","All","N"
2008,31.8115190279908,"m","black sea bass fall mean dteoc","All","N"
2009,33.355632555366,"m","black sea bass fall mean dteoc","All","N"
2010,37.8513764823353,"m","black sea bass fall mean dteoc","All","N"
2011,28.4687560785933,"m","black sea bass fall mean dteoc","All","N"
2012,33.0948448167928,"m","black sea bass fall mean dteoc","All","N"
2013,20.9628752110662,"m","black sea bass fall mean dteoc","All","N"
2014,30.0721766356101,"m","black sea bass fall mean dteoc","All","N"
2015,22.0649268631538,"m","black sea bass fall mean dteoc","All","N"
2016,33.9955363369376,"m","black sea bass fall mean dteoc","All","N"
1963,120.797038648171,"m","haddock fall mean dteoc","All","N"
1964,128.362977869286,"m","haddock fall mean dteoc","All","N"
1965,127.796997418461,"m","haddock fall mean dteoc","All","N"
1966,127.713217557104,"m","haddock fall mean dteoc","All","N"
1967,127.086977429058,"m","haddock fall mean dteoc","All","N"
1968,105.754461469104,"m","haddock fall mean dteoc","All","N"
1969,104.088692763871,"m","haddock fall mean dteoc","All","N"
1970,119.799330681156,"m","haddock fall mean dteoc","All","N"
1971,121.667186133625,"m","haddock fall mean dteoc","All","N"
1972,129.621599144154,"m","haddock fall mean dteoc","All","N"
1973,111.031705048363,"m","haddock fall mean dteoc","All","N"
1974,112.563513108201,"m","haddock fall mean dteoc","All","N"
1975,128.626789481748,"m","haddock fall mean dteoc","All","N"
1976,111.308869186148,"m","haddock fall mean dteoc","All","N"
1977,110.622118035498,"m","haddock fall mean dteoc","All","N"
1978,130.441313938381,"m","haddock fall mean dteoc","All","N"
1979,117.905288639477,"m","haddock fall mean dteoc","All","N"
1980,139.112643958536,"m","haddock fall mean dteoc","All","N"
1981,133.124187671099,"m","haddock fall mean dteoc","All","N"
1982,123.954713827015,"m","haddock fall mean dteoc","All","N"
1983,125.092530800937,"m","haddock fall mean dteoc","All","N"
1984,116.803770213759,"m","haddock fall mean dteoc","All","N"
1985,141.132830479291,"m","haddock fall mean dteoc","All","N"
1986,133.774870947291,"m","haddock fall mean dteoc","All","N"
1987,115.770432357963,"m","haddock fall mean dteoc","All","N"
1988,139.335298582381,"m","haddock fall mean dteoc","All","N"
1989,158.369973628859,"m","haddock fall mean dteoc","All","N"
1990,163.271942409333,"m","haddock fall mean dteoc","All","N"
1991,130.895122967577,"m","haddock fall mean dteoc","All","N"
1992,120.042787062572,"m","haddock fall mean dteoc","All","N"
1993,112.474696878218,"m","haddock fall mean dteoc","All","N"
1994,111.489979913106,"m","haddock fall mean dteoc","All","N"
1995,110.720878889262,"m","haddock fall mean dteoc","All","N"
1996,135.439822778343,"m","haddock fall mean dteoc","All","N"
1997,117.544295861903,"m","haddock fall mean dteoc","All","N"
1998,116.582817701386,"m","haddock fall mean dteoc","All","N"
1999,99.1912308086944,"m","haddock fall mean dteoc","All","N"
2000,114.430175562786,"m","haddock fall mean dteoc","All","N"
2001,133.26625833886,"m","haddock fall mean dteoc","All","N"
2002,128.915252003816,"m","haddock fall mean dteoc","All","N"
2003,125.804299918865,"m","haddock fall mean dteoc","All","N"
2004,137.291501378379,"m","haddock fall mean dteoc","All","N"
2005,126.515683445496,"m","haddock fall mean dteoc","All","N"
2006,131.725249634769,"m","haddock fall mean dteoc","All","N"
2007,156.36081167905,"m","haddock fall mean dteoc","All","N"
2008,147.537316384774,"m","haddock fall mean dteoc","All","N"
2009,140.981526680544,"m","haddock fall mean dteoc","All","N"
2010,128.889758606782,"m","haddock fall mean dteoc","All","N"
2011,140.823818586094,"m","haddock fall mean dteoc","All","N"
2012,125.71774670248,"m","haddock fall mean dteoc","All","N"
2013,130.369025106647,"m","haddock fall mean dteoc","All","N"
2014,133.590558684196,"m","haddock fall mean dteoc","All","N"
2015,127.695544705777,"m","haddock fall mean dteoc","All","N"
2016,122.129098189111,"m","haddock fall mean dteoc","All","N"
1963,143.334078674824,"m","sea scallop fall mean dteoc","All","N"
1964,164.543578403517,"m","sea scallop fall mean dteoc","All","N"
1965,126.316351656114,"m","sea scallop fall mean dteoc","All","N"
1966,147.241173467447,"m","sea scallop fall mean dteoc","All","N"
1967,100.735101561225,"m","sea scallop fall mean dteoc","All","N"
1968,108.505843643165,"m","sea scallop fall mean dteoc","All","N"
1969,110.486938084379,"m","sea scallop fall mean dteoc","All","N"
1970,110.575119975184,"m","sea scallop fall mean dteoc","All","N"
1971,111.80738607967,"m","sea scallop fall mean dteoc","All","N"
1972,113.839044113987,"m","sea scallop fall mean dteoc","All","N"
1973,126.80486816106,"m","sea scallop fall mean dteoc","All","N"
1974,111.373046907211,"m","sea scallop fall mean dteoc","All","N"
1975,108.17616026138,"m","sea scallop fall mean dteoc","All","N"
1976,99.9752678842319,"m","sea scallop fall mean dteoc","All","N"
1977,105.618349948231,"m","sea scallop fall mean dteoc","All","N"
1978,113.555508403033,"m","sea scallop fall mean dteoc","All","N"
1979,123.71846166918,"m","sea scallop fall mean dteoc","All","N"
1980,136.372682286704,"m","sea scallop fall mean dteoc","All","N"
1981,125.027111119851,"m","sea scallop fall mean dteoc","All","N"
1982,120.884372122449,"m","sea scallop fall mean dteoc","All","N"
1983,99.7080231229209,"m","sea scallop fall mean dteoc","All","N"
1984,119.082709965816,"m","sea scallop fall mean dteoc","All","N"
1985,107.620754608865,"m","sea scallop fall mean dteoc","All","N"
